Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,ConsoleSerie
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.7,242.0,Nintendo,E,Nintendo
Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147.0,Nintendo,E,Nintendo
Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0,Nintendo,E,Nintendo
Just Dance 3,Wii,2011,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,Ubisoft,E10+,Nintendo
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0,Nintendo,E,Nintendo
Just Dance 2,Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,Ubisoft,E10+,Nintendo
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0,Nintendo,E,Nintendo
Mario Party DS,DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,Hudson Soft,E,Nintendo
Wii Party,Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0,Nd Cube,E,Nintendo
Mario Party 8,Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0,Hudson,E,Nintendo
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0,Game Freak,E,Nintendo
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,Nintendo EAD Tokyo,E,Nintendo
Just Dance,Wii,2009,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110.0,Ubisoft Paris,E10+,Nintendo
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,95.0,73.0,9.0,1658.0,Nintendo,T,Nintendo
Mario Kart 8,WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599.0,Nintendo,E,Nintendo
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568.0,HAL Labs,T,Nintendo
Just Dance 4,Wii,2012,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0,Ubisoft,E10+,Nintendo
Big Brain Academy,DS,2005,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,74.0,45.0,7.4,27.0,Nintendo,E,Nintendo
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,87.0,77.0,8.6,368.0,Retro Studios,E,Nintendo
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,76.0,28.0,9.0,222.0,Game Freak,E,Nintendo
Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,439.0,Nintendo,E,Nintendo
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,87.0,65.0,8.8,197.0,Level 5,E10+,Nintendo
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.57,1.55,0.0,0.51,5.64,80.0,17.0,8.9,62.0,Traveller's Tales,E10+,Nintendo
Cooking Mama,DS,2006,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,67.0,35.0,7.2,21.0,Taito Corporation,E,Nintendo
Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84.0,19.0,7.8,41.0,Nintendo,E,Nintendo
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,93.0,24.0,8.3,108.0,Intelligent Systems,E,Nintendo
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.3,1.34,1.27,0.32,5.22,84.0,70.0,8.1,733.0,Nintendo,E,Nintendo
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,85.0,72.0,8.6,147.0,Level 5,E,Nintendo
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,90.0,57.0,8.0,416.0,Nintendo,E,Nintendo
Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.98,68.0,34.0,7.1,47.0,Nintendo,T,Nintendo
LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,2.83,1.48,0.0,0.45,4.76,80.0,9.0,5.4,46.0,TT Fusion,E,Nintendo
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.82,1.12,1.32,0.36,4.62,73.0,50.0,7.6,119.0,Nintendo,E,Nintendo
The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.6,96.0,80.0,8.9,968.0,Nintendo,E,Nintendo
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,3.04,1.11,0.0,0.43,4.6,86.0,36.0,8.4,87.0,Vicarious Visions,T,Nintendo
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,1.8,1.39,1.11,0.29,4.59,86.0,74.0,8.4,458.0,Next Level Games,E,Nintendo
Splatoon,WiiU,2015,Shooter,Nintendo,1.54,1.18,1.46,0.26,4.43,81.0,88.0,8.5,1184.0,Nintendo,E10+,Nintendo
Nintendo Land,WiiU,2012,Misc,Nintendo,2.52,1.11,0.46,0.33,4.42,77.0,61.0,7.9,471.0,Nintendo,E10+,Nintendo
Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,2.64,1.33,0.01,0.39,4.36,56.0,37.0,8.3,31.0,"Ubisoft Paris, Ubisoft Montpellier",E10+,Nintendo
Super Mario 3D World,WiiU,2013,Platform,Nintendo,2.11,1.16,0.73,0.32,4.32,93.0,83.0,9.0,1607.0,Nintendo,E,Nintendo
Namco Museum,GBA,2001,Misc,Namco Bandai Games,3.0,1.11,0.05,0.07,4.24,79.0,10.0,7.3,6.0,Mass Media,E,Nintendo
Carnival Games,Wii,2007,Misc,Take-Two Interactive,2.12,1.47,0.05,0.42,4.05,56.0,27.0,6.0,44.0,Cat Daddy Games,E,Nintendo
The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,2.03,1.16,0.37,0.38,3.95,93.0,81.0,8.0,1958.0,Nintendo,E10+,Nintendo
Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo,0.9,1.76,0.92,0.37,3.94,84.0,65.0,8.8,72.0,Level 5,E10+,Nintendo
EA Sports Active,Wii,2009,Sports,Electronic Arts,2.09,1.35,0.06,0.4,3.9,81.0,27.0,8.7,39.0,EA Canada,E,Nintendo
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,0.68,0.48,2.62,0.11,3.89,86.0,80.0,8.7,348.0,Capcom,T,Nintendo
Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo,0.86,1.56,1.05,0.35,3.83,59.0,22.0,4.0,4.0,"Nintendo, Namco Bandai Games",E,Nintendo
Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,1.05,1.91,0.41,0.42,3.79,68.0,33.0,6.9,39.0,Nintendo,E,Nintendo
Super Paper Mario,Wii,2007,Platform,Nintendo,1.95,0.86,0.59,0.31,3.71,85.0,56.0,7.9,417.0,Intelligent Systems,E,Nintendo
MySims,DS,2007,Simulation,Electronic Arts,1.58,1.59,0.08,0.41,3.66,67.0,15.0,7.3,13.0,TOSE,E,Nintendo
Guitar Hero: World Tour,Wii,2008,Misc,Activision,2.32,0.96,0.0,0.34,3.62,86.0,18.0,7.6,71.0,Vicarious Visions,T,Nintendo
Luigi's Mansion,GC,2001,Action,Nintendo,2.38,0.67,0.46,0.1,3.6,78.0,34.0,8.5,161.0,Nintendo,E,Nintendo
Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,505 Games,1.6,1.49,0.1,0.39,3.58,70.0,39.0,8.0,9.0,Office Create,E,Nintendo
Guitar Hero: On Tour,DS,2008,Misc,Activision,2.1,1.01,0.01,0.35,3.46,71.0,70.0,8.8,29.0,Vicarious Visions,E10+,Nintendo
Clubhouse Games,DS,2006,Misc,Nintendo,0.59,1.79,0.73,0.34,3.45,83.0,30.0,8.4,28.0,Agenda,E,Nintendo
The Legend of Zelda: Spirit Tracks,DS,2009,Action,Nintendo,1.4,0.91,0.74,0.26,3.31,87.0,75.0,7.8,228.0,Nintendo,E10+,Nintendo
Professor Layton and the Unwound Future,DS,2008,Puzzle,Nintendo,0.6,1.57,0.82,0.27,3.26,86.0,62.0,9.2,111.0,Level 5,E10+,Nintendo
Wii Music,Wii,2008,Misc,Nintendo,1.35,1.11,0.46,0.32,3.25,63.0,43.0,4.6,116.0,Nintendo,E,Nintendo
Super Mario Maker,WiiU,2015,Platform,Nintendo,1.18,0.89,0.94,0.2,3.21,88.0,85.0,8.7,691.0,Nintendo,E,Nintendo
Animal Crossing,GC,2001,Simulation,Nintendo,1.92,0.16,0.99,0.09,3.15,87.0,42.0,8.9,137.0,Nintendo,E,Nintendo
Mario Party 9,Wii,2012,Misc,Nintendo,1.06,1.09,0.76,0.22,3.13,73.0,45.0,6.8,155.0,Nd Cube,E,Nintendo
Sonic Rush,DS,2005,Platform,Sega,1.21,1.56,0.06,0.29,3.12,82.0,43.0,8.5,101.0,"Dimps Corporation, Sonic Team",E,Nintendo
Rhythm Heaven,DS,2008,Misc,Nintendo,0.55,0.5,1.93,0.13,3.11,83.0,48.0,9.0,63.0,Nintendo,E,Nintendo
Personal Trainer: Cooking,DS,2006,Misc,Nintendo,0.9,1.0,1.03,0.17,3.11,81.0,12.0,7.8,10.0,Indies Zero,E,Nintendo
The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo,1.4,1.01,0.46,0.23,3.1,91.0,81.0,8.9,1057.0,Nintendo,E,Nintendo
Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,0.51,1.02,1.4,0.12,3.05,66.0,60.0,6.9,106.0,Nintendo,E,Nintendo
LEGO Batman: The Videogame,DS,2008,Action,Warner Bros. Interactive Entertainment,1.75,1.01,0.0,0.29,3.05,72.0,16.0,8.0,16.0,TT Fusion,E10+,Nintendo
Epic Mickey,Wii,2010,Platform,Disney Interactive Studios,2.04,0.63,0.12,0.22,3.0,73.0,78.0,7.0,131.0,Junction Point,E,Nintendo
Pac-Man Collection,GBA,2001,Puzzle,Atari,2.07,0.77,0.05,0.05,2.94,79.0,13.0,7.8,4.0,Mass Media,E,Nintendo
Kirby Super Star Ultra,DS,2008,Platform,Nintendo,1.55,0.04,1.19,0.15,2.92,76.0,40.0,8.8,76.0,HAL Labs,E,Nintendo
Cooking Mama: Cook Off,Wii,2007,Simulation,505 Games,1.41,1.12,0.05,0.3,2.89,61.0,37.0,5.3,23.0,OfficeCreate,E,Nintendo
WarioWare: Smooth Moves,Wii,2006,Puzzle,Nintendo,0.86,1.04,0.73,0.26,2.89,83.0,61.0,7.4,179.0,Intelligent Systems,E10+,Nintendo
Metroid Prime,GC,2002,Shooter,Nintendo,1.96,0.67,0.1,0.09,2.82,97.0,70.0,9.3,747.0,Retro Studios,T,Nintendo
Skylanders: Spyro's Adventure,Wii,2011,Action,Activision,1.35,1.13,0.0,0.3,2.78,81.0,11.0,5.6,31.0,Toys for Bob,E10+,Nintendo
Yoshi's Island DS,DS,2006,Platform,Nintendo,1.45,0.07,1.1,0.15,2.76,81.0,42.0,7.4,67.0,Artoon,E,Nintendo
Sonic and the Secret Rings,Wii,2007,Platform,Sega,1.21,1.19,0.04,0.29,2.73,69.0,44.0,6.6,174.0,Sonic Team,E,Nintendo
The Legend of Zelda: A Link to the Past,GBA,2002,Action,Nintendo,1.75,0.52,0.33,0.1,2.7,95.0,30.0,9.1,314.0,Capcom,E,Nintendo
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,Puzzle,Nintendo,1.63,0.51,0.35,0.18,2.67,79.0,51.0,7.7,18.0,Nintendo,E,Nintendo
Professor Layton and the Last Specter,DS,2009,Puzzle,Nintendo,0.28,1.39,0.68,0.32,2.67,83.0,58.0,8.7,52.0,Level 5,E10+,Nintendo
Mario Strikers Charged,Wii,2007,Sports,Nintendo,1.05,1.05,0.24,0.24,2.58,79.0,47.0,8.0,124.0,Next Level Games,E10+,Nintendo
Style Savvy,DS,2008,Simulation,Nintendo,0.62,0.82,0.96,0.18,2.58,73.0,4.0,7.7,7.0,syn Sophia,E,Nintendo
Sonic Adventure 2 Battle,GC,2001,Platform,Sega,1.7,0.59,0.21,0.07,2.56,73.0,28.0,8.3,179.0,Sonic Team,E,Nintendo
Pokémon Colosseum,GC,2003,Role-Playing,Nintendo,1.21,0.57,0.7,0.07,2.54,73.0,37.0,8.0,89.0,Genius Sonority Inc.,E,Nintendo
Art Academy,DS,2010,Misc,Nintendo,0.26,1.65,0.33,0.28,2.52,75.0,15.0,8.0,5.0,Headstrong Games,E,Nintendo
Skylanders Giants,Wii,2012,Action,Activision,1.48,0.83,0.0,0.21,2.52,78.0,8.0,7.0,20.0,Toys for Bob,E10+,Nintendo
Deca Sports,Wii,2008,Sports,Konami Digital Entertainment,1.11,0.85,0.29,0.25,2.5,50.0,23.0,5.4,16.0,CAProduction,E,Nintendo
Game Party,Wii,2007,Misc,Midway Games,1.47,0.77,0.0,0.24,2.48,25.0,8.0,4.3,26.0,Midway,E,Nintendo
Mario Party 4,GC,2002,Misc,Nintendo,1.13,0.36,0.92,0.07,2.47,70.0,26.0,7.4,74.0,Hudson,E,Nintendo
LEGO Harry Potter: Years 1-4,Wii,2010,Action,Warner Bros. Interactive Entertainment,1.28,0.93,0.0,0.22,2.43,79.0,13.0,8.0,34.0,Traveller's Tales,E10+,Nintendo
The Legend of Zelda: Majora's Mask 3D,3DS,2015,Action,Nintendo,1.15,0.55,0.47,0.17,2.34,89.0,82.0,9.0,478.0,GREZZO,E10+,Nintendo
Paper Mario: Sticker Star,3DS,2012,Role-Playing,Nintendo,1.12,0.41,0.64,0.14,2.3,75.0,69.0,5.6,382.0,Intelligent Systems,E,Nintendo
LEGO Harry Potter: Years 1-4,DS,2010,Action,Warner Bros. Interactive Entertainment,1.07,0.99,0.0,0.22,2.28,72.0,7.0,7.2,6.0,TT Fusion,E10+,Nintendo
Pokemon Ranger: Shadows of Almia,DS,2008,Role-Playing,Nintendo,0.94,0.53,0.62,0.18,2.28,68.0,24.0,8.2,27.0,"HAL Labs, Creatures Inc.",E,Nintendo
Kirby: Nightmare in Dream Land,GBA,2002,Platform,Nintendo,1.22,0.1,0.91,0.04,2.27,81.0,24.0,8.9,54.0,HAL Labs,E,Nintendo
Wario Land 4,GBA,2001,Platform,Nintendo,0.9,0.73,0.54,0.09,2.26,88.0,17.0,8.9,42.0,Nintendo,E,Nintendo
Paper Mario: The Thousand-Year Door,GC,2004,Role-Playing,Nintendo,1.48,0.25,0.46,0.06,2.25,87.0,55.0,9.4,306.0,Intelligent Systems,E,Nintendo
Sonic Advance,GBA,2001,Platform,Sega,1.19,0.71,0.22,0.13,2.24,87.0,22.0,8.1,48.0,Sonic Team,E,Nintendo
Super Monkey Ball: Banana Blitz,Wii,2006,Misc,Sega,1.05,0.91,0.04,0.24,2.24,74.0,53.0,5.7,72.0,Sega,E,Nintendo
New Super Luigi U,WiiU,2013,Platform,Nintendo,1.25,0.62,0.18,0.18,2.24,77.0,59.0,7.9,288.0,Nintendo,E,Nintendo
Spyro: Season of Ice,GBA,2001,Platform,Vivendi Games,1.29,0.83,0.0,0.11,2.23,74.0,16.0,8.0,13.0,Digital Eclipse,E,Nintendo
Monster Hunter Tri,Wii,2009,Role-Playing,Nintendo,0.65,0.4,1.05,0.11,2.22,84.0,70.0,8.6,219.0,Capcom,T,Nintendo
LEGO Indiana Jones: The Original Adventures,DS,2008,Action,Activision,1.4,0.59,0.0,0.2,2.2,80.0,15.0,7.9,16.0,TT Fusion,E,Nintendo
Scribblenauts,DS,2009,Puzzle,Warner Bros. Interactive Entertainment,1.67,0.3,0.02,0.18,2.16,79.0,72.0,7.6,110.0,5TH Cell,E10+,Nintendo
Sonic Unleashed,Wii,2008,Platform,Sega,1.26,0.67,0.02,0.21,2.16,66.0,30.0,7.3,136.0,Sonic Team,E10+,Nintendo
Pokemon Ranger,DS,2006,Role-Playing,Nintendo,1.28,0.03,0.73,0.12,2.15,69.0,21.0,7.6,50.0,HAL Labs,E,Nintendo
Final Fantasy Tactics Advance,GBA,2003,Role-Playing,SquareSoft,0.82,0.37,0.89,0.05,2.13,87.0,44.0,7.8,212.0,Square Enix,E,Nintendo
Your Shape featuring Jenny McCarthy,Wii,2009,Sports,Ubisoft,1.49,0.46,0.0,0.18,2.12,62.0,5.0,5.2,54.0,Ubisoft,E,Nintendo
Tetris DS,DS,2006,Puzzle,Nintendo,0.63,0.05,1.35,0.08,2.1,84.0,56.0,8.7,44.0,Nintendo,E,Nintendo
Final Fantasy III,DS,2006,Role-Playing,Square Enix,0.89,0.04,1.07,0.09,2.08,77.0,45.0,7.1,136.0,Matrix Software,E10+,Nintendo
Mario Party 5,GC,2003,Misc,Nintendo,0.97,0.33,0.73,0.06,2.08,69.0,33.0,8.2,57.0,Hudson,E,Nintendo
Mario Sports Mix,Wii,2010,Sports,Nintendo,0.88,0.44,0.63,0.12,2.08,64.0,54.0,7.1,34.0,Square Enix,E,Nintendo
The Sims 2: Pets,DS,2006,Simulation,Electronic Arts,0.92,0.93,0.0,0.22,2.07,49.0,5.0,5.2,24.0,Full Fat,E,Nintendo
Dance Dance Revolution: Hottest Party,Wii,2007,Simulation,Konami Digital Entertainment,1.35,0.52,0.0,0.19,2.07,73.0,16.0,7.1,27.0,Konami,E10+,Nintendo
Sonic Mega Collection,GC,2002,Misc,Infogrames,1.47,0.48,0.05,0.06,2.05,75.0,26.0,8.8,41.0,Sonic Team,E,Nintendo
Donkey Kong Country,GBA,2003,Platform,Nintendo,1.2,0.48,0.29,0.07,2.04,78.0,26.0,8.9,53.0,Rare Ltd.,E,Nintendo
Carnival Games,DS,2008,Misc,Take-Two Interactive,1.21,0.63,0.0,0.19,2.03,48.0,11.0,3.3,4.0,Cat Daddy Games,E,Nintendo
Rayman Raving Rabbids: TV Party,Wii,2008,Misc,Ubisoft,0.72,1.08,0.0,0.23,2.03,73.0,24.0,7.7,29.0,"Ubisoft Paris, Ubisoft Montpellier",E10+,Nintendo
Pokémon Mystery Dungeon: Blue Rescue Team,DS,2005,Role-Playing,Nintendo,1.15,0.04,0.83,0.0,2.02,62.0,34.0,8.1,97.0,ChunSoft,E,Nintendo
Fire Emblem: Awakening,3DS,2012,Role-Playing,Nintendo,0.9,0.45,0.54,0.13,2.01,92.0,72.0,9.1,1130.0,Intelligent Systems,T,Nintendo
TouchMaster,DS,2007,Puzzle,Midway Games,0.48,1.27,0.0,0.24,2.0,71.0,19.0,5.7,9.0,Midway Studios - San Diego,E10+,Nintendo
Harry Potter and the Chamber of Secrets,GBA,2002,Action,Electronic Arts,1.21,0.64,0.05,0.09,1.99,76.0,11.0,7.9,14.0,Eurocom Entertainment Software,E,Nintendo
Kingdom Hearts 358/2 Days,DS,2009,Role-Playing,Square Enix,1.06,0.26,0.53,0.13,1.98,75.0,53.0,7.8,162.0,h.a.n.d. Inc.,E10+,Nintendo
Kirby Squeak Squad,DS,2006,Platform,Nintendo,0.78,0.02,1.05,0.08,1.94,71.0,29.0,8.1,41.0,"Flagship, HAL Labs",E,Nintendo
Call of Duty: World at War,Wii,2008,Shooter,Activision,1.17,0.58,0.0,0.18,1.94,83.0,19.0,7.6,78.0,Exakt,M,Nintendo
Mario Party: Island Tour,3DS,2013,Misc,Nintendo,0.62,0.64,0.55,0.11,1.92,57.0,47.0,6.3,117.0,"Nintendo, Nd Cube",E,Nintendo
Star Wars Rogue Leader: Rogue Squadron II,GC,2001,Simulation,LucasArts,1.03,0.75,0.03,0.09,1.9,90.0,45.0,8.6,80.0,Factor 5,T,Nintendo
Mario Super Sluggers,Wii,2008,Sports,Nintendo,1.48,0.0,0.29,0.12,1.89,69.0,31.0,7.8,58.0,Namco Bandai Games,E,Nintendo
Monopoly,Wii,2008,Misc,Electronic Arts,0.86,0.83,0.0,0.2,1.89,70.0,11.0,7.8,17.0,Electronic Arts,E,Nintendo
Game Party 2,Wii,2008,Misc,Midway Games,1.28,0.43,0.0,0.17,1.88,29.0,7.0,4.6,7.0,Midway,E,Nintendo
Toy Story Mania!,Wii,2009,Misc,Disney Interactive Studios,1.04,0.66,0.0,0.18,1.88,49.0,15.0,6.6,13.0,Papaya Studios,E,Nintendo
Star Fox Adventures,GC,2002,Adventure,Nintendo,0.96,0.53,0.3,0.09,1.87,82.0,39.0,7.7,145.0,Rare Ltd.,T,Nintendo
Star Wars: The Force Unleashed,Wii,2008,Action,LucasArts,1.11,0.56,0.0,0.18,1.86,71.0,18.0,7.9,75.0,Krome Studios,T,Nintendo
Kingdom Hearts: Chain of Memories,GBA,2004,Role-Playing,Square Enix,1.26,0.18,0.35,0.06,1.85,76.0,37.0,7.9,84.0,Jupiter Corporation,E,Nintendo
Phineas and Ferb,DS,2009,Action,Disney Interactive Studios,1.32,0.37,0.0,0.15,1.84,80.0,4.0,4.5,8.0,Altron,E,Nintendo
Rayman Raving Rabbids 2,Wii,2007,Misc,Ubisoft,0.82,0.82,0.0,0.2,1.83,67.0,25.0,8.3,66.0,Ubisoft Montpellier,E10+,Nintendo
Kirby: Triple Deluxe,3DS,2014,Platform,Nintendo,0.61,0.34,0.79,0.09,1.83,80.0,68.0,8.8,206.0,HAL Labs,E,Nintendo
Sonic Classic Collection,DS,2010,Platform,Sega,0.92,0.73,0.0,0.17,1.83,70.0,24.0,7.5,28.0,Creative Assembly,E,Nintendo
Sonic Advance 2,GBA,2002,Platform,Sega,0.93,0.59,0.21,0.07,1.8,83.0,23.0,8.3,46.0,Dimps Corporation,E,Nintendo
Metroid Prime 3: Corruption,Wii,2007,Shooter,Nintendo,0.89,0.74,0.07,0.09,1.79,90.0,62.0,8.9,491.0,Retro Studios,T,Nintendo
Dragon Quest Monsters: Joker,DS,2006,Role-Playing,Square Enix,0.23,0.02,1.49,0.02,1.76,75.0,30.0,7.4,27.0,TOSE,E10+,Nintendo
LEGO Star Wars III: The Clone Wars,Wii,2011,Action,LucasArts,1.01,0.6,0.0,0.15,1.76,76.0,7.0,7.7,10.0,Traveller's Tales,E10+,Nintendo
Golden Sun,GBA,2001,Role-Playing,Nintendo,0.93,0.38,0.4,0.06,1.76,91.0,29.0,9.3,198.0,Camelot Software Planning,E,Nintendo
Wii Party U,WiiU,2013,Misc,Nintendo,0.3,0.56,0.84,0.05,1.75,65.0,38.0,6.8,135.0,Nd Cube,E,Nintendo
Dragon Quest VI: Realms of Revelation,DS,2010,Role-Playing,Nintendo,0.2,0.14,1.35,0.03,1.73,78.0,41.0,8.1,31.0,ArtePiazza,T,Nintendo
Crash Bandicoot: The Huge Adventure,GBA,2002,Platform,Universal Interactive,0.95,0.7,0.0,0.08,1.73,78.0,18.0,7.9,27.0,Vicarious Visions,E,Nintendo
The Beatles: Rock Band,Wii,2009,Misc,MTV Games,1.17,0.39,0.0,0.15,1.71,89.0,25.0,8.9,43.0,Harmonix Music Systems,T,Nintendo
Deal or No Deal,DS,2007,Misc,Mindscape,1.15,0.4,0.0,0.15,1.7,20.0,13.0,1.9,41.0,Artefacts Studio,E,Nintendo
Harry Potter and the Sorcerer's Stone,GBA,2001,Action,Electronic Arts,0.87,0.66,0.08,0.08,1.69,64.0,8.0,7.1,7.0,Griptonite Games,E,Nintendo
Dragon Ball Z: The Legacy of Goku,GBA,2002,Role-Playing,Infogrames,1.52,0.12,0.0,0.05,1.69,53.0,15.0,6.9,28.0,Webfoot Technologies,E,Nintendo
Resident Evil 4,GC,2005,Action,Capcom,0.98,0.42,0.22,0.06,1.69,96.0,82.0,9.4,767.0,Capcom,M,Nintendo
Sonic Colors,Wii,2010,Platform,Sega,0.92,0.6,0.01,0.15,1.68,78.0,58.0,8.5,301.0,Sonic Team,E,Nintendo
Metroid Fusion,GBA,2002,Action,Nintendo,1.18,0.27,0.17,0.06,1.68,92.0,44.0,9.1,200.0,Nintendo,E,Nintendo
We Ski,Wii,2008,Sports,Namco Bandai Games,0.97,0.4,0.14,0.15,1.67,67.0,32.0,8.5,12.0,Bandai Namco Games,E,Nintendo
Big Beach Sports,Wii,2008,Sports,THQ,0.45,1.02,0.0,0.2,1.66,44.0,17.0,8.0,41.0,HB Studios Multimedia,E,Nintendo
Shaun White Snowboarding: Road Trip,Wii,2008,Sports,Ubisoft,0.93,0.56,0.0,0.16,1.66,78.0,28.0,8.7,22.0,Ubisoft,E10+,Nintendo
Kirby's Return to Dreamland,Wii,2011,Platform,Nintendo,0.58,0.21,0.79,0.07,1.65,77.0,49.0,8.5,156.0,HAL Labs,E10+,Nintendo
